state;danish_speakers;speak_english_less_than_very_well;population_2009
Alabama;45;;4497352
Alaska;150;;665954
Arizona;445;60;6033147
Arkansas;;;2738012
California;6275;665;35131429
Colorado;480;75;4779527
Connecticut;390;25;3386166
Delaware;;;852446
District of Columbia;145;;582879
Florida;1935;270;18014852
Georgia;540;60;9133039
Hawaii;210;95;1287075
Idaho;180;35;1465609
Illinois;715;70;12027783
Indiana;410;;6087409
Iowa;425;40;2864943
Kansas;120;;2665346
Kentucky;265;;4082467
Louisiana;155;;4255893
Maine;105;;1261144
Maryland;700;;5467945
Massachusetts;800;60;6238762
Michigan;370;;9300837
Minnesota;770;135;4996324
Mississippi;50;40;2771287
Missouri;170;45;5624171
Montana;300;15;937514
Nebraska;130;60;1711160
Nevada;450;;2546528
New Hampshire;;;1251055
New Jersey;920;25;8294499
New Mexico;70;;1928173
New York;2055;295;18322476
North Carolina;535;;9027673
North Dakota;50;;644506
Ohio;620;;10843151
Oklahoma;35;;3521583
Oregon;660;75;3635006
Pennsylvania;770;70;12008403
Rhode Island;165;;995757
South Carolina;195;;4381360
South Dakota;90;4;766263
Tennessee;125;;5998956
Texas;1535;250;23704400
Utah;800;90;2554331
Vermont;65;;594667
Virginia;1075;80;7590865
Washington;1240;100;6378045
West Virginia;30;25;1750012
Wisconsin;450;45;5355576
Wyoming;50;;530725
Puerto Rico;;;3468712
